pd,FT,homeFT,homePT,eNE,PT,officeCler,manConst,profMan,retail,oNE,zero,eleven,fourteen,sixteen,eighteen,twentysix,thirtyone,fortyone,fiftyone,fiftyfive,sixtyfivePlus,male,female,lYes,lNo
30,0.353273138,0.039503386,0.01241535,0.502257336,0.09255079,0.070541761,0.063769752,0.168171558,0.195259594,0.502257336,0.14785553,0.026523702,0.025395034,0.020880361,0.058690745,0.04006772,0.125282167,0.143905192,0.05248307,0.150677201,0.208239278,0.496613995,0.503386005,0.739841986,0.260158014
31,0.361898761,0.031295946,0.011482182,0.519498705,0.075824407,0.098298677,0.048029126,0.168101939,0.166071554,0.519498705,0.118392495,0.039697543,0.026325002,0.031646013,0.080445285,0.044038367,0.111881257,0.169642232,0.059861374,0.152979066,0.165091367,0.487712665,0.512287335,0.700903172,0.299096828
32,0.337453646,0.063040791,0.039555006,0.468479604,0.091470952,0.079110012,0.079110012,0.207663782,0.165636588,0.468479604,0.111248455,0.033374536,0.019777503,0.028430161,0.067985167,0.039555006,0.0815822,0.166872682,0.061804697,0.171817058,0.217552534,0.498145859,0.501854141,0.772558714,0.227441286
33,0.377883164,0.031759718,0.009628512,0.503844219,0.076884386,0.081051951,0.071495294,0.164475102,0.179133434,0.503844219,0.150463462,0.039879284,0.030322627,0.027448444,0.081051951,0.047064741,0.140260114,0.16490623,0.058633326,0.117769634,0.142200187,0.486670978,0.513329022,0.673420996,0.326579004
34,0.375383566,0.048414593,0.015342653,0.479031708,0.08182748,0.088646437,0.094101602,0.151380839,0.186839414,0.479031708,0.125809751,0.043300375,0.023866348,0.026593931,0.069894306,0.032390044,0.104330038,0.170473917,0.076031367,0.141152404,0.186157518,0.496420048,0.503579952,0.748721446,0.251278554
35,0.36741598,0.019630536,0.004896506,0.533541064,0.074515914,0.071444469,0.099799688,0.108702426,0.186512353,0.533541064,0.158691298,0.04393501,0.030313822,0.030937013,0.08582239,0.058268418,0.149565992,0.156821723,0.049499221,0.110527487,0.125617627,0.498419764,0.501580236,0.62715335,0.37284665
36,0.363147517,0.026826791,0.009709028,0.521867718,0.078448945,0.082481926,0.066529247,0.149399534,0.179721575,0.521867718,0.126157615,0.042719723,0.030322041,0.029963554,0.086425285,0.04657346,0.122990978,0.16950469,0.062556014,0.134731433,0.148055207,0.49133656,0.50866344,0.663051921,0.336948079
37,0.372701556,0.03854314,0.012022631,0.49893918,0.077793494,0.076379066,0.074611033,0.174681754,0.175388967,0.49893918,0.161244696,0.03748232,0.026166902,0.024045262,0.055162659,0.046322489,0.137553041,0.161951909,0.04950495,0.131188119,0.169377652,0.488330976,0.511669024,0.708628006,0.291371994
38,0.393728223,0.033235058,0.008576789,0.495577593,0.068882337,0.080407397,0.069954436,0.170999732,0.183060842,0.495577593,0.185473064,0.038327526,0.020637899,0.024390244,0.060573573,0.069954436,0.183060842,0.146073439,0.041811847,0.112838381,0.116858751,0.503886358,0.496113642,0.685071027,0.314928973
39,0.341141002,0.044179035,0.016465677,0.528293135,0.06992115,0.075718924,0.037105751,0.20211039,0.1567718,0.528293135,0.127435065,0.041048237,0.029916512,0.028293135,0.060296846,0.028641002,0.104591837,0.174976809,0.060992579,0.143205009,0.200602968,0.489332096,0.510667904,0.72437384,0.27562616
40,0.337051591,0.035365699,0.011788566,0.533527697,0.082266447,0.068703258,0.049435923,0.176701737,0.171631385,0.533527697,0.131068576,0.02902776,0.017872988,0.02078844,0.048928888,0.045759919,0.125237673,0.137026239,0.050323235,0.145012042,0.24895424,0.481049563,0.518950437,0.734820636,0.265179364
41,0.34533252,0.054301403,0.017083588,0.489932886,0.093349603,0.073215375,0.082977425,0.181818182,0.172056132,0.489932886,0.091519219,0.042708969,0.030506406,0.030506406,0.079316656,0.024405125,0.075655888,0.158023185,0.070774863,0.194020744,0.202562538,0.497254423,0.502745577,0.787065284,0.212934716
42,0.317388003,0.028094153,0.018223235,0.564920273,0.071374336,0.066059226,0.046317388,0.197418375,0.125284738,0.564920273,0.137433561,0.028094153,0.02126044,0.024297646,0.055429005,0.040242976,0.126803341,0.104024298,0.058466211,0.160971906,0.242976462,0.469248292,0.530751708,0.708428246,0.291571754
43,0.301940639,0.050228311,0.010844749,0.546803653,0.090182648,0.061073059,0.056506849,0.183789954,0.151826484,0.546803653,0.114726027,0.034246575,0.023972603,0.025684932,0.078196347,0.037100457,0.106164384,0.148972603,0.053652968,0.158105023,0.219178082,0.510844749,0.489155251,0.75456621,0.24543379
44,0.384615385,0.031830239,0.00464191,0.50397878,0.074933687,0.071618037,0.092838196,0.152519894,0.179045093,0.50397878,0.220159151,0.028514589,0.013925729,0.017241379,0.051724138,0.053050398,0.216843501,0.118700265,0.038461538,0.110742706,0.130636605,0.486737401,0.513262599,0.695623342,0.304376658
45,0.349116372,0.028676225,0.006335445,0.539179727,0.076692231,0.069356452,0.087362454,0.136045348,0.168056019,0.539179727,0.122707569,0.033011004,0.023341114,0.027009003,0.077025675,0.05435145,0.121707236,0.150050017,0.053351117,0.147715905,0.18972991,0.494498166,0.505501834,0.723907969,0.276092031
46,0.304715916,0.019127054,0.00871692,0.578326853,0.089113257,0.054433714,0.075755675,0.115389439,0.176094318,0.578326853,0.106108115,0.028032108,0.021572808,0.023077888,0.079079393,0.051862536,0.1108742,0.137401229,0.060391321,0.157719804,0.223880597,0.484886492,0.515113508,0.634516493,0.365483507
