HomePD,z_house,z_apart,z_town,z_zeroCar,z_oneCar,z_twoCars,z_threePlusCars,z_oneAdult,z_oneAdultChildren,z_twoAdults,z_twoAdultsChildren,z_twoPlusAdults,z_twoPlusAdultsChildren,z_zeroKid,z_oneKid,z_twoKids,z_threeKids,z_fourPlusKids,z_pOne,z_pTwo,z_pThree,z_pFour,z_pFivePlus
19,0.93125,0.05625,0.0125,0.0375,0.264583333,0.44375,0.254166667,0.16875,0.004166667,0.477083333,0.05625,0.258333333,0.035416667,0.904166667,0.041666667,0.041666667,0.010416667,0.002083333,0.16875,0.479166667,0.164583333,0.129166667,0.058333333
20,0.799734748,0.112732095,0.087533156,0.042440318,0.333554377,0.472811671,0.151193634,0.169098143,0.00530504,0.352785146,0.083554377,0.307692308,0.081564987,0.829575597,0.094164456,0.060344828,0.015251989,0.00066313,0.169098143,0.355437666,0.186339523,0.196286472,0.092838196
21,0.78477854,0.113537118,0.101684342,0.044291953,0.349344978,0.468496569,0.1378665,0.134747349,0.010605115,0.283218964,0.162195883,0.291952589,0.1172801,0.709918902,0.162819713,0.09794136,0.026824704,0.002495321,0.134747349,0.287585777,0.221459763,0.213349969,0.142857143
22,0.801571709,0.11345776,0.08497053,0.059921415,0.307956778,0.489685658,0.142436149,0.165520629,0.009823183,0.34675835,0.146365422,0.245088409,0.086444008,0.757367387,0.10805501,0.105599214,0.026031434,0.002946955,0.165520629,0.351669941,0.174852652,0.20481336,0.103143418
23,0.740013774,0.199380165,0.060606061,0.097451791,0.422520661,0.375,0.105027548,0.244490358,0.011019284,0.397727273,0.101239669,0.194903581,0.050619835,0.837121212,0.079545455,0.062672176,0.018595041,0.002066116,0.244490358,0.401859504,0.164600551,0.129476584,0.059573003
24,0.890583554,0.057692308,0.051724138,0.028514589,0.314323607,0.49535809,0.161803714,0.149867374,0.01061008,0.439655172,0.131299735,0.201591512,0.066976127,0.791114058,0.100795756,0.084880637,0.017904509,0.00530504,0.149867374,0.444297082,0.149867374,0.171750663,0.084217507
25,0.895294118,0.069411765,0.035294118,0.029411765,0.308235294,0.450588235,0.211764706,0.2,0.011764706,0.365882353,0.111764706,0.238823529,0.071764706,0.804705882,0.098823529,0.071764706,0.022352941,0.002352941,0.2,0.371764706,0.190588235,0.157647059,0.08
26,0.897727273,0.039772727,0.0625,0.022727273,0.21875,0.485795455,0.272727273,0.127840909,0.008522727,0.454545455,0.082386364,0.264204545,0.0625,0.846590909,0.073863636,0.073863636,0.005681818,0,0.127840909,0.460227273,0.15625,0.176136364,0.079545455
27,0.747657296,0.155957162,0.096385542,0.084337349,0.328647925,0.453145917,0.133868809,0.192771084,0.012717537,0.317269076,0.125167336,0.263721553,0.088353414,0.773761714,0.109103079,0.09103079,0.022088353,0.004016064,0.192771084,0.321954485,0.194779116,0.1854083,0.105087015
28,0.779661017,0.094915254,0.125423729,0.032768362,0.271186441,0.545762712,0.150282486,0.143502825,0.001129944,0.349152542,0.143502825,0.284745763,0.077966102,0.77740113,0.117514124,0.083615819,0.01920904,0.002259887,0.143502825,0.350282486,0.220338983,0.214689266,0.071186441
